"","idx","x","y"
"223",150334,80.5737516734257,-11.4093614492595
"82",148713,62.6703517172697,-9.80640320202765
"86",148783,75.1134164380309,-8.10480377848419
"43",147386,27.1445518113974,-11.7664676755058
"845",152461,40.3632621985584,-32.4784025733615
"1214",153062,54.8679488037749,-61.1531069115026
"902",152570,75.3430854816131,-39.8827861158946
"290",150782,68.7950608396654,-39.3535389928428
"391",151207,39.7986953343041,-37.3217485426258
"405",151253,82.4256555301844,-16.9105009036782
"6",144026,66.6494815030192,-73.7021907181575
"54",147730,95.0519736023888,-11.9909926007733
"829",152429,73.3576351975714,-12.3415831979177
"362",151119,65.5295067283378,-6.04130344677427
"781",152340,77.7615185770444,-62.7958518624265
"113",149223,46.7291162052184,-2.99592492134681
"137",149535,74.6358555274924,-3.33561061516644
"311",150858,69.9312816690229,-38.4894614567617
"770",152312,78.5518926342885,-8.98870209365325
"1322",153194,82.665861079439,-4.89489291519496
"395",151229,57.6571787785136,-8.08520645606712
"1100",152903,77.4360497019566,-22.152391248275
"1315",153187,74.4010269965654,-25.8310870061529
"697",152141,33.5798597586666,-3.91687691197797
"328",150954,36.844855800249,-2.85384034696927
"1278",153139,57.8937466439142,-61.8152610609253
"150",149690,85.1753054173796,-54.1531537339707
"291",150784,77.8608631686001,-57.4986763257539
"706",152157,69.984376714236,-34.7035634782783
"270",150641,93.0230789994488,-4.84599307708778
"1077",152868,13.3110471389128,-28.0186772654667
"302",150827,82.1059337017267,-27.2873070539307
"1219",153068,65.3123850356395,-39.8030109759417
"77",148606,45.5328472556512,-6.88441325494497
"469",151536,86.4951826237687,-42.2867512227951
"488",151600,41.2070016063194,-76.232390970188
"627",151999,41.0844535148764,-5.04061799204788
"1089",152885,67.0736329470637,-43.2490030647705
"786",152350,68.5593981053361,-36.9917739208479
"1023",152790,15.9537275379608,-6.0628165759182
"1379",153271,50.4395639314374,-68.4699248408379
"143",149640,65.786984439178,-1.74496367367724
"351",151069,42.9475892216528,-69.1685561649596
"1131",152950,81.5434712520788,-10.0905650404232
"1353",153236,90.0178266957583,-68.135184448213
"255",150531,27.600783867814,-33.9580793548319
"588",151917,31.4379967172017,-20.8698314227876
"890",152543,64.6678263620928,-62.1077160230362
"81",148709,76.4668196085907,-13.9874819835884
"1132",152951,37.0499715479893,-34.9594442048209
"1265",153123,74.1065264893719,-58.981280149903
